UID          PID    PPID  C STIME TTY          TIME CMD
root         123       2  0 May27 ?        00:00:00 [cpuhp/18]
root         124       2  0 May27 ?        00:00:00 [idle_inject/18]
root         125       2  0 May27 ?        00:01:51 [migration/18]
root         126       2  0 May27 ?        00:41:36 [ksoftirqd/18]
root         128       2  0 May27 ?        00:00:00 [kworker/18:0H-events_highpri]
root         129       2  0 May27 ?        00:00:00 [cpuhp/19]
root         130       2  0 May27 ?        00:00:00 [idle_inject/19]
root         131       2  0 May27 ?        00:01:29 [migration/19]
root         132       2  0 May27 ?        00:08:09 [ksoftirqd/19]
root         134       2  0 May27 ?        00:00:00 [kworker/19:0H-events_highpri]
root         135       2  0 May27 ?        00:00:00 [cpuhp/20]
root         136       2  0 May27 ?        00:00:00 [idle_inject/20]
root         137       2  0 May27 ?        00:01:31 [migration/20]
root         138       2  0 May27 ?        00:17:00 [ksoftirqd/20]
root         140       2  0 May27 ?        00:00:00 [kworker/20:0H-events_highpri]
root         141       2  0 May27 ?        00:00:00 [cpuhp/21]
root         142       2  0 May27 ?        00:00:00 [idle_inject/21]
root         143       2  0 May27 ?        00:01:24 [migration/21]
root         144       2  0 May27 ?        00:08:12 [ksoftirqd/21]
root         146       2  0 May27 ?        00:00:00 [kworker/21:0H-events_highpri]
root         147       2  0 May27 ?        00:00:00 [cpuhp/22]
root         148       2  0 May27 ?        00:00:00 [idle_inject/22]
root         149       2  0 May27 ?        00:01:24 [migration/22]
root         150       2  0 May27 ?        00:08:41 [ksoftirqd/22]
root         152       2  0 May27 ?        00:00:00 [kworker/22:0H-events_highpri]
root         153       2  0 May27 ?        00:00:00 [cpuhp/23]
root         154       2  0 May27 ?        00:00:00 [idle_inject/23]
root         155       2  0 May27 ?        00:01:17 [migration/23]
root         156       2  0 May27 ?        00:08:14 [ksoftirqd/23]
root         158       2  0 May27 ?        00:00:00 [kworker/23:0H-events_highpri]
root         181       2  0 May27 ?        00:00:00 [kdevtmpfs]
root         182       2  0 May27 ?        00:00:00 [inet_frag_wq]
root         183       2  0 May27 ?        00:00:58 [kauditd]
root         187       2  0 May27 ?        00:01:59 [khungtaskd]
root         188       2  0 May27 ?        00:00:27 [oom_reaper]
root         189       2  0 May27 ?        00:00:01 [writeback]
root         190       2  0 May27 ?        00:11:47 [kcompactd0]
root         191       2  0 May27 ?        00:00:00 [ksmd]
root         192       2  0 May27 ?        00:13:33 [khugepaged]
root         193       2  0 May27 ?        00:00:00 [cryptd]
root         194       2  0 May27 ?        00:00:00 [kintegrityd]
root         195       2  0 May27 ?        00:00:00 [kblockd]
root         196       2  0 May27 ?        00:00:00 [blkcg_punt_bio]
root         197       2  0 May27 ?        00:00:00 [tpm_dev_wq]
root         198       2  0 May27 ?        00:00:00 [md]
root         199       2  0 May27 ?        00:00:00 [md_bitmap]
root         200       2  0 May27 ?        00:00:00 [edac-poller]
